,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Goodman, Karly",SR-4,Illinois Wesleyan,13.98m,"45' 10.5""",Augustana Twilight,"May 17, 2018"
1,2,"Schmidt, Sarah",SO-2,Carthage,13.94m,"45' 9""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
2,3,"Bennett, Mia",SR-4,Carthage,13.63m,"44' 8.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Willis, Elizabeth",SO-2,Carthage,13.62m,"44' 8.25""",St. Norbert Quad,"Apr 28, 2018"
4,5,"Yamane, Naomi",JR-3,North Central (Ill.),13.30m,"43' 7.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"Riccolo, Mia",JR-3,North Park,13.11m,"43' 0.25""",2018 Cougar Invitational,"Apr 20, 2018"
6,7,"Nicolau, Alicia",SR-4,Carthage,12.52m,"41' 1""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Roman, Angela",SO-2,Illinois Wesleyan,12.32m,"40' 5""",Monmouth Midweek,"Apr 24, 2018"
8,9,"Webster, Emily",SR-4,Augustana (Ill.),12.10m,"39' 8.5""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
9,10,"Blair, Ayana",FR-1,Illinois Wesleyan,11.85m,"38' 10.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
10,11,"Bicknase, Rachel",FR-1,Carthage,11.66m,"38' 3.25""",St. Norbert Quad,"Apr 28, 2018"
11,12,"Dunnam, Erika",SO-2,Carroll,11.21m,"36' 9.5""",Wisconsin Private College Championships,"Apr 7, 2018"
12,13,"Chambers, Riley",FR-1,North Central (Ill.),11.04m,"36' 2.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"Kats, Hannah",JR-3,North Central (Ill.),10.77m,"35' 4""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Milschewski, Kathryn",FR-1,Carthage,10.68m,"35' 0.5""",Benedictine Relays and Invitational,"Apr 13, 2018"
15,16,"Stubner, Daniele",FR-1,North Central (Ill.),10.45m,"34' 3.5""",Augustana Viking Olympics,"Mar 29, 2018"
16,17,"Tangney, Courtney",SO-2,Carroll,10.22m,"33' 6.5""",Wisconsin Private College Championships,"Apr 7, 2018"
17,18,"Obermeyer, Alexis",JR-3,Millikin,10.16m,"33' 4""",True Blue Twilight,"Apr 27, 2018"
18,19,"Schwager, Gia",FR-1,Augustana (Ill.),10.02m,"32' 10.5""",UW-Platteville Open,"Apr 7, 2018"
19,20,"Considine, Heidi",FR-1,Wheaton (Ill.),10.01m,"32' 10.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
20,21,"Oliver, Rachel",FR-1,Augustana (Ill.),10.00m,"32' 9.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,22,"Madrid, Lindsay",FR-1,Elmhurst,9.91m,"32' 6.25""",Beloit Relays,"Apr 28, 2018"
22,23,"Reinders, Tori",SO-2,Carroll,9.90m,"32' 5.75""",Wisconsin Private College Championships,"Apr 7, 2018"
23,24,"Johnson, Gwyn",FR-1,Carthage,9.87m,"32' 4.75""",Benedictine Invitational,"Apr 7, 2018"
24,25,"Gambol, Anna",FR-1,Millikin,9.83m,"32' 3""",Greenville Select,"Apr 14, 2018"
