,PL,Team,Total Time,Avg. Time,Score,1,2,3,4,5,6,7
0,1,Elmhurst,1:59:20,23:52,47,5,8,9,12,13,31,39
1,2,Illinois Cross Country Club,2:00:20,24:04,77,3,4,19,24,27,28,36
2,3,Olivet Nazarene,2:00:57,24:11,100,2,6,16,35,41,47,49
3,4,Carthage,2:03:13,24:38,129,15,18,21,37,38,45,55
4,5,Bethel (Ind.),2:03:36,24:43,138,11,14,33,34,46,56,59
5,6,Wheaton (Ill.),2:04:36,24:55,183,7,40,42,44,50,51,57
6,7,Harper College,2:05:44,25:08,188,20,22,26,53,67,83,
7,8,Benedictine (Ill.),2:05:58,25:11,214,1,32,48,63,70,73,74
8,9,Judson,2:07:57,25:35,243,17,43,54,64,65,78,85
9,10,North Central (Ill.),2:08:43,25:44,248,23,29,60,61,75,96,
10,11,Sauk Valley CC,2:10:09,26:01,279,25,52,62,68,72,87,
11,12,Aurora,2:11:40,26:20,293,10,66,69,71,77,82,89
12,13,MSOE,2:18:46,27:45,382,58,79,80,81,84,93,103
13,14,Concordia Univ. Chicago,2:29:46,29:57,393,30,76,86,100,101,104,
14,15,Morton College,2:31:20,30:16,460,88,91,92,94,95,98,99
15,16,Illinois Tech,2:51:55,34:23,500,90,97,102,105,106,,
