,,ATHLETE,YEAR,TIME,MEET,MEET DATE
0,1646,"Lauber, Andrew",FR-1,50.15,CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,1756,"Amstutz, Paul",SO-2,50.27,CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,2228,"Dowell, Bradley",JR-3,50.91,Augustana Viking Olympics,"Mar 29, 2018"
3,2476,"Van Grinsven, Leif",JR-3,51.24,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,2922,"Walker, Johnathan",SR-4,51.81,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,3555,"Smith, Robert",SO-2,52.59,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,3800,"Van Os, Andrew",JR-3,52.96,CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,4683,"Van Os, Peter",FR-1,54.47,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,5316,"Peneycad, Matt",SR-4,56.45,Augustana Viking Olympics,"Mar 29, 2018"
